random_index,source_id,ra,dec,parallax,parallax_over_error,pmdec,pmdec_error,pmra,pmra_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
1214986891,2927248021592377344,101.72360405718568,-20.117237599960706,1.0240877183487367,27.975388,10.852655767683778,0.031583507,-3.9278473121523367,0.029104976,1.0970092,15.87389,16.326744,15.2496,1.0771437
1547748103,2927248399549466880,101.7494016063005,-20.08208290865933,0.8968484727594652,64.85864,0.5523507686267202,0.011848839,1.5411411086532552,0.011597516,1.0675201,13.44494,13.720771,13.0096035,0.71116734
449536514,2927248399551873024,101.73929588165538,-20.090547707174508,2.1099924998734183,3.598683,-0.9301970917445813,0.4664345,-4.1807751650683596,0.4124719,1.0029343,20.237045,21.41938,19.017347,2.4020329
1168334333,2927173151717298176,100.7259151621263,-20.51045854528697,0.7791591068475131,2.3259897,2.342473076876057,0.24409172,-0.31888902088633314,0.16618586,1.0126275,19.597158,20.621334,18.49773,2.1236038
1555698439,2927193355240693760,100.65556742099444,-20.24930570658826,1.0861639979536912,4.288032,12.104829380054724,0.23707268,-6.725114603566114,0.12238389,0.9919958,19.050087,19.50051,17.336208,2.164301
391617281,2927193767561872128,100.62096488251812,-20.25702244822493,1.776537875060476,1.7035139,-14.663005416563546,0.78153914,10.021243692628001,0.48930866,1.0807801,20.711666,21.719105,19.423729,2.2953758
1048341497,2927213004722295680,101.39927196310917,-20.406089150126682,1.3128591036385964,3.1465886,3.4635570517036514,0.4182037,-2.7792781992348914,0.2653694,0.9852238,19.944956,20.100765,18.74318,1.3575859
1769592844,2927213417037666176,101.2895560021564,-20.430272236673943,1.2403768182240553,5.285626,-1.3155068076472196,0.23117983,1.3696358711289678,0.14947125,0.9965215,19.27238,20.710978,18.106068,2.60491
298972769,2927213593132417024,101.27990366674423,-20.433849187902013,2.7213131376495894,1.3799068,1.6070498827890933,1.6341265,-0.30450382989906205,1.0486323,1.1391432,20.887074,20.98481,19.752445,1.2323647
1179322336,2927232147390162432,101.28216027423106,-20.234781290722168,0.895759293508026,1.4724383,0.21128149841700986,0.6775659,-1.5599820352936344,0.34340104,0.95118046,20.001589,,,
1768410730,2927232456631110912,101.26747060543887,-20.20504109261279,0.9599369492021863,4.173561,5.910470123469008,0.21827176,2.2323677222832723,0.14349423,1.033123,19.095491,20.158915,18.102364,2.056551
1023703952,2927232490985974656,101.24636816410523,-20.204460943806634,0.8199480987018417,1.8812006,1.6777892288763028,0.44111058,0.5407266339001806,0.27939504,0.96123254,20.008852,20.513311,19.279568,1.2337437
9053490,2927232559705388672,101.30238250116935,-20.213052891255913,1.1443379742908588,2.0842252,2.7474042752668515,0.5264825,1.7782337514527378,0.3596784,1.0724255,20.124418,21.473097,18.980776,2.492321
1597553527,2927233109466164096,101.20703968806197,-20.20616221293161,1.5119079176433123,2.791453,0.19576668774104067,0.5737737,-1.0381797186947062,0.36379686,0.9537227,20.297039,21.039722,19.45806,1.5816631
1679382675,2927252282197361152,101.40945397695667,-20.206628589069943,1.1343858394224366,0.89498425,-0.32591646175774625,1.5047804,0.1943353600772856,0.7649395,0.9669339,20.881914,21.393991,20.082716,1.3112755
585324132,2927252488358488448,101.49744331246289,-20.193047466711956,1.139228935741007,79.26781,0.2324356751469936,0.014106721,4.524664744198717,0.010638211,1.0117708,13.473055,13.790876,12.990754,0.80012226
1227150904,2927215375539699200,101.47417084986726,-20.329066253103317,1.4686264722217124,17.02961,-1.5453382743584239,0.07421801,-4.61043414468188,0.055225667,0.98223656,17.536236,18.496819,16.579294,1.9175243
784502508,2927215551639871232,101.39316313659316,-20.36718790298149,1.3513115999346428,28.326641,-1.2638550910622333,0.044368323,-4.409069043191015,0.028425682,1.0597705,16.518213,17.233055,15.701214,1.5318413
1452776492,2927215585994816512,101.37642640539005,-20.359659564204822,0.8603697555637898,3.95732,3.3483467268636815,0.21125124,-2.630088109275616,0.13426967,0.9927865,19.112305,20.284557,17.961723,2.322834
1446115936,2927216028374751104,101.37705074408854,-20.30999016656076,0.7493993310049981,5.087135,4.395884243845604,0.133038,-3.6297984965615364,0.09168029,0.9668024,18.429882,19.212673,17.572742,1.6399307
1484012720,2927216273194330752,101.42747391324083,-20.304910075938878,0.791448427226617,7.040607,-4.882581950376524,0.10577964,0.888050705327845,0.06856238,1.0551025,17.80117,18.607199,16.872751,1.7344475
1151990480,2927234930528750848,101.6768354064272,-20.338441887726578,2.592762111705743,2.8253446,2.8796554085763,1.0415819,-0.46076062002268847,0.7302768,1.0534722,20.65174,21.150343,19.639446,1.5108967
659360299,2927201395424226688,101.36860045438344,-20.630578503180416,1.4548083027269976,2.160161,-1.9114727483612635,0.60394996,-1.5042711016821435,0.3880722,0.9804319,20.577843,21.332113,19.4389,1.8932133
144151635,2927222561026700928,100.94880932811982,-20.40883768218872,1.3718612787558067,67.88639,-2.242487866368044,0.01759239,-4.355443713051042,0.011862311,1.0693537,14.815494,15.330672,14.145942,1.1847305
1263239108,2927223282582371968,101.06079549880397,-20.40886562248673,0.8699142024678355,56.64688,-5.69681635438336,0.014443583,1.9192737095849488,0.009585447,1.0782734,13.45871,13.732655,13.017976,0.71467876
625238128,2927217475781182080,101.10549870590776,-20.499990258491014,1.0914442145059084,2.5388052,-4.535100006260664,0.4163761,1.3844873090206162,0.26298937,1.0305072,20.072859,21.16684,18.90271,2.2641296
